t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run11	2.0181519	0.4979894	0.3434865	0.3371542	0.3290983	0.2622293	0.1594297	0.1474268	0.1351606	0.1266751	0.1096744	0.102951	0.0622755	0.0500536	0.0142603	0.0128796	0.0113869	0.0107396	0.0395079	0.0229286	0.0065693	0.0156219	0.0458102	0.0779341	0.1278576	0.1140712	0.0923682	0.0374497	0.0293945	0.0177386	0.0076198	0.0129346	0.0317106	0.0820387	0.0659902	0.1494714	0.14135	0.1218248	0.0664042	0.0412673	0.0126326	0.1297145	0.3164035	0.2995945	0.1841143	0.2766757	0.2922691	0.314347	0.160842	0.1162713	0.0852547	0.1805238	0.2362964	0.229243	0.1920872	0.1819304	0.1131569	0.0968886	0.089122	0.0731735	0.0246217	0.0211754	0.0180833	0.0258201	0.0361573	0.0048595	0.0262443	0.1762471	0.1282855	0.1003039	0.0878166	0.0807073	0.0643887	0.0348355	0.0750295	0.1161937	0.1917622	0.1702347	0.1099921	0.096343	0.0169861	0.0657488	0.0714059	0.0358084	0.1459678	0.8849578	0.1587463
run12	2.0010101	0.4980026	0.3450229	0.3383892	0.3302661	0.2636021	0.1598084	0.1481617	0.1358892	0.1275883	0.1108412	0.1040416	0.0627643	0.0503444	0.0144163	0.0129652	0.0115341	0.0108836	0.0400316	0.0231672	0.0067232	0.0160149	0.0461937	0.0788508	0.1282037	0.1147477	0.0931421	0.0378326	0.02973	0.0180449	0.0077712	0.0128937	0.0320984	0.0825887	0.0665144	0.1498426	0.1415445	0.1216589	0.0660212	0.0413989	0.0124644	0.130893	0.3178366	0.3006582	0.1833118	0.2787045	0.2933977	0.3150728	0.1624323	0.116816	0.0856382	0.1835144	0.232588	0.2249901	0.188367	0.1779947	0.1108999	0.0951258	0.0876085	0.0716244	0.0238135	0.0204338	0.0176803	0.0256053	0.0353187	0.0046758	0.0254589	0.1732101	0.1261533	0.0982109	0.0862876	0.0792615	0.0630971	0.0343828	0.0735847	0.1141988	0.1880832	0.166361	0.1079901	0.0943027	0.0163911	0.0639701	0.0692343	0.0350134	0.1434942	0.9136644	0.1600932
run13	2.0337035	0.4983619	0.3434824	0.3366326	0.3282902	0.2610684	0.158397	0.1466345	0.1340827	0.1259836	0.1089761	0.102204	0.0618846	0.0499505	0.0143027	0.0128591	0.0114084	0.0107312	0.0394298	0.0230601	0.0065749	0.0157044	0.0451783	0.077751	0.1266506	0.1129489	0.0914163	0.0371414	0.0292895	0.017577	0.0076142	0.0126536	0.0314263	0.081035	0.0655202	0.1482589	0.1399199	0.1203745	0.0658979	0.0409471	0.0125989	0.1292247	0.3151387	0.2978971	0.184177	0.2770629	0.2910389	0.314211	0.1616751	0.1163947	0.0854256	0.1819556	0.2371816	0.2301825	0.1930486	0.1827135	0.1142689	0.0976553	0.0902626	0.0736485	0.0248548	0.0212779	0.0183178	0.0261675	0.0366871	0.0048764	0.0265142	0.1775817	0.1297528	0.1006142	0.0883237	0.0815141	0.0651655	0.0353445	0.0756858	0.1171962	0.192986	0.1710073	0.1112716	0.0972998	0.0169356	0.0670382	0.072402	0.0365652	0.1477918	0.8635433	0.1563448
run14	2.0075019	0.4979286	0.3436065	0.3370477	0.3285595	0.261013	0.1579009	0.146284	0.1338064	0.1256122	0.1085857	0.1018488	0.0610599	0.0491576	0.014008	0.0125995	0.0111788	0.0104953	0.0387709	0.0228136	0.0065341	0.0156467	0.0451025	0.0772043	0.1263476	0.1125547	0.0914007	0.0372062	0.0290546	0.0174806	0.0075231	0.0126318	0.0315857	0.0810768	0.0654074	0.1478713	0.1399149	0.1202975	0.0658655	0.0407704	0.0125832	0.1291495	0.3159893	0.2988658	0.1840351	0.276831	0.2920633	0.3138026	0.1619564	0.1163136	0.0849747	0.1816042	0.2370231	0.2301846	0.192783	0.182507	0.113951	0.0975628	0.08998	0.0737112	0.0248371	0.0213114	0.0183686	0.026128	0.0365659	0.0048747	0.0262563	0.1775757	0.1302249	0.100809	0.088138	0.0810292	0.0649509	0.035088	0.0752571	0.1177239	0.1924638	0.1709798	0.1105641	0.096597	0.0171908	0.0666307	0.0717739	0.0358506	0.1465594	0.8738938	0.156894
run15	1.9979274	0.4980155	0.3434875	0.3369987	0.3285273	0.2614092	0.1595263	0.1479289	0.1354413	0.1273326	0.1101217	0.1031883	0.0622409	0.0501029	0.0142704	0.0127823	0.0113334	0.0106425	0.0395948	0.0230773	0.0065878	0.0157532	0.0456575	0.0779622	0.1274731	0.1137476	0.0926197	0.0374424	0.0294057	0.0175165	0.0076425	0.0127395	0.032049	0.0819245	0.0657008	0.14914	0.1410945	0.1220823	0.0661771	0.041229	0.012575	0.1296936	0.3153102	0.2983698	0.1832213	0.27701	0.291183	0.3135268	0.1606592	0.1163203	0.0854041	0.1819761	0.2354556	0.2281969	0.1915139	0.181279	0.1131282	0.0968253	0.0891979	0.07311	0.0244911	0.0210067	0.0181446	0.0261034	0.0360999	0.0048181	0.0261008	0.1765089	0.1288046	0.099827	0.0874706	0.0805594	0.0646229	0.0348036	0.075178	0.116479	0.1909154	0.169324	0.1101006	0.0956164	0.0167972	0.0647093	0.0714698	0.0356808	0.1456322	0.9448993	0.1592858
run16	2.0014692	0.4980732	0.3431284	0.3367771	0.3284894	0.2615912	0.1586459	0.1467753	0.1342519	0.1260932	0.108865	0.1022076	0.0616721	0.0494195	0.0141354	0.0127135	0.0112396	0.0106457	0.0391435	0.0228894	0.0066138	0.0156246	0.0453779	0.0772839	0.1270814	0.1132828	0.0919762	0.0371203	0.02909	0.0175698	0.0076008	0.0127244	0.0316792	0.0815151	0.0655372	0.1492726	0.1415288	0.1216438	0.0660632	0.0410745	0.0125836	0.1304205	0.3157942	0.2987205	0.1850616	0.2759235	0.2916478	0.3142992	0.1609742	0.1164101	0.085386	0.1813967	0.2359788	0.2283898	0.191001	0.1804242	0.1123029	0.0959159	0.0886312	0.0725629	0.0242261	0.0206609	0.0178324	0.0257479	0.0358282	0.0047079	0.0262306	0.1761865	0.1283654	0.0997364	0.0874919	0.0804467	0.0642635	0.0349223	0.0749251	0.1164998	0.1911801	0.1692668	0.1095794	0.0956248	0.0167963	0.0658008	0.071223	0.0354138	0.1455934	0.8868969	0.1563599
run17	2.0140108	0.4979327	0.3448176	0.3385916	0.3304878	0.263877	0.1607381	0.148926	0.1363353	0.1280163	0.1112413	0.1046522	0.0629054	0.0504314	0.0144654	0.0129415	0.0114954	0.0108503	0.0399671	0.0232069	0.0066883	0.0156851	0.045955	0.0785132	0.1289929	0.1153	0.0933565	0.0377954	0.0296735	0.0179392	0.0076521	0.0129284	0.0318227	0.0831526	0.0668932	0.1509837	0.1426544	0.1233097	0.0678487	0.0421395	0.0125879	0.1319116	0.3175682	0.2999275	0.1839257	0.2782729	0.2944448	0.3156736	0.162233	0.1178747	0.0864115	0.1802588	0.2339521	0.2262364	0.1897419	0.1794495	0.1110331	0.0950123	0.0872778	0.0717192	0.0238933	0.0204963	0.0177032	0.0253576	0.0355028	0.0047675	0.0254558	0.1743718	0.1273959	0.0995649	0.0869705	0.0799257	0.0635154	0.0346692	0.0742311	0.1152359	0.1896776	0.1673208	0.1085997	0.0944196	0.0163495	0.0640327	0.0707117	0.0350144	0.1434681	0.9332852	0.15912
run18	2.0128513	0.4981048	0.3445084	0.3379149	0.3293019	0.2625178	0.1592745	0.1475205	0.1348772	0.1266425	0.1095393	0.1031523	0.0618388	0.049762	0.0140331	0.0126971	0.0112796	0.0106253	0.0392215	0.0229353	0.0065239	0.0158142	0.0457803	0.0779795	0.1273441	0.1138892	0.0922641	0.0372027	0.0294271	0.017615	0.0076696	0.0127104	0.031552	0.0818568	0.0663219	0.1497044	0.1415074	0.1218087	0.0661133	0.0410194	0.0125045	0.1304066	0.316415	0.2993994	0.1842055	0.2776057	0.2924519	0.3151074	0.1617997	0.1160892	0.0853279	0.1828615	0.2365331	0.2295088	0.1929259	0.1822621	0.1132904	0.0966443	0.0892097	0.0733116	0.0246233	0.0211298	0.0182221	0.0260809	0.0363524	0.0049003	0.0261843	0.1773836	0.1292231	0.1006092	0.0881172	0.0808305	0.0648138	0.0354255	0.0756304	0.1172956	0.1920126	0.1711728	0.1100594	0.0969133	0.0171525	0.0667306	0.0720839	0.0362724	0.1474622	0.9409946	0.1576262
run19	2.0201409	0.498224	0.3443358	0.3376175	0.329659	0.2630555	0.1597431	0.1480738	0.1353195	0.1272441	0.1099289	0.1033026	0.0617241	0.0497308	0.0140943	0.0126859	0.011193	0.0105712	0.0393205	0.0228885	0.0065832	0.0158525	0.0456717	0.0784129	0.1278738	0.1140684	0.0926153	0.0375672	0.0294208	0.0177628	0.0075183	0.0128029	0.0317263	0.0820419	0.0660245	0.1501508	0.1417829	0.1219916	0.066512	0.0416069	0.0127009	0.1310132	0.3163744	0.2985575	0.18226	0.2771459	0.2923162	0.3141672	0.1619743	0.1166315	0.085567	0.1805147	0.2377898	0.230616	0.193356	0.1829659	0.114008	0.0974519	0.0896848	0.0736248	0.0246976	0.0211626	0.0181534	0.026264	0.0363429	0.0048644	0.026401	0.1778941	0.1302178	0.1011367	0.0885572	0.081463	0.065194	0.0352029	0.0758979	0.1179079	0.1930823	0.1710558	0.1113265	0.097431	0.0168591	0.0664311	0.0716284	0.0359057	0.1470809	0.9183972	0.1583799
run20	2.001879	0.4985335	0.3455451	0.3391705	0.33072	0.263852	0.1604396	0.1489597	0.1365614	0.1282915	0.1111816	0.1046926	0.0633571	0.0510603	0.014623	0.0132277	0.011711	0.0109819	0.0404754	0.023488	0.0066948	0.0159433	0.0463397	0.0791516	0.1289016	0.1151969	0.0936894	0.0382834	0.0299212	0.0180213	0.0077792	0.0130611	0.0325037	0.0832256	0.0673932	0.1503875	0.1424428	0.1226866	0.0669713	0.0417513	0.0128015	0.1321425	0.3180297	0.3004638	0.1837921	0.2786514	0.2938471	0.315648	0.1626158	0.1172094	0.0863259	0.179536	0.2368129	0.2297168	0.1925314	0.1821948	0.1127837	0.0965522	0.0890401	0.0728634	0.0244854	0.0209385	0.018064	0.0258577	0.0361194	0.0048472	0.0260276	0.1766479	0.1287917	0.1001793	0.0877593	0.0807447	0.0647289	0.0352614	0.0749613	0.1162767	0.192171	0.170226	0.1096486	0.095824	0.0170709	0.0660811	0.0715407	0.0359115	0.1457519	0.9076028	0.1603437
run21	2.0076157	0.4983382	0.3434036	0.3371128	0.3288931	0.2622492	0.1587566	0.146854	0.1343932	0.1261771	0.1092923	0.1028205	0.0615966	0.0495843	0.0142792	0.0128947	0.0113907	0.0107363	0.0391569	0.0229919	0.0065597	0.0154438	0.0457023	0.0775898	0.1271965	0.1133876	0.0921067	0.0374911	0.0295481	0.017694	0.007579	0.0126853	0.031633	0.0821766	0.0661374	0.1494654	0.1415121	0.1221808	0.0663181	0.041418	0.0125096	0.1309379	0.3162698	0.299744	0.1848222	0.2773537	0.2928032	0.3139976	0.1606222	0.1162004	0.085547	0.1807035	0.2351417	0.227749	0.1908746	0.1809104	0.1120555	0.09547	0.0881609	0.0721303	0.0241038	0.0205975	0.0177598	0.0256575	0.0352662	0.0047496	0.0256136	0.175656	0.1280434	0.0993515	0.086982	0.0798409	0.0637555	0.0349062	0.0744913	0.1161948	0.1902951	0.1686338	0.1086676	0.0942671	0.0166202	0.0645716	0.0707703	0.0353022	0.1449396	0.9253938	0.1579451
run22	2.0158209	0.4984083	0.3448337	0.3384075	0.3306693	0.2639643	0.1599692	0.1482389	0.1359194	0.1277602	0.1104742	0.1037851	0.0625282	0.050358	0.01447	0.0129878	0.0114805	0.0108548	0.0397677	0.0233281	0.0067675	0.0158912	0.0462394	0.0786382	0.1284372	0.1150197	0.0931513	0.0380386	0.0300067	0.0178437	0.0077081	0.0128983	0.0320013	0.0831811	0.0668941	0.1508571	0.1426236	0.1229809	0.0677923	0.0420012	0.0128363	0.1318887	0.317762	0.3006879	0.1849449	0.2788419	0.2942328	0.3157637	0.1610526	0.1171306	0.0862074	0.1826404	0.2362195	0.2289753	0.1911621	0.1809585	0.1125032	0.0961443	0.088653	0.0726175	0.0244493	0.0209219	0.0179443	0.0258109	0.0356289	0.0048308	0.0259572	0.1763935	0.1288966	0.100186	0.0876889	0.0806268	0.0642942	0.0351252	0.074899	0.1166655	0.1906826	0.1687746	0.109472	0.0953817	0.0165926	0.0652551	0.0710667	0.0352589	0.1444905	0.9825756	0.1610834
run23	2.0141515	0.4982576	0.3448142	0.3381305	0.33	0.2627701	0.1595905	0.1474164	0.1350506	0.1268351	0.109773	0.1030074	0.0619901	0.0496979	0.0143173	0.0129277	0.0113538	0.010732	0.0392561	0.0230161	0.0066496	0.0157069	0.0457404	0.0783758	0.1273981	0.1137065	0.0922725	0.0376508	0.0295529	0.0179981	0.0076589	0.0129064	0.0318532	0.0823	0.0665894	0.1496775	0.1418544	0.1225921	0.066658	0.0415578	0.0126047	0.1314051	0.3174478	0.3001589	0.1844343	0.278579	0.2932664	0.3154058	0.1618129	0.1167152	0.0856985	0.1810626	0.2364803	0.2290633	0.1915901	0.1820649	0.1131904	0.0968848	0.0895751	0.0733999	0.0246534	0.0211406	0.0182611	0.0257115	0.0359053	0.0047659	0.0262602	0.1769726	0.1291157	0.1007075	0.0876169	0.0811246	0.0649975	0.034866	0.0752386	0.1167527	0.192448	0.1712059	0.1107442	0.0966542	0.0171166	0.065613	0.0707923	0.0356072	0.145373	0.9484167	0.1598275
run24	2.0154215	0.4980644	0.3439905	0.3374673	0.3290692	0.2629107	0.1603223	0.1486414	0.1357104	0.127618	0.1105725	0.1035118	0.0622975	0.0501399	0.0142292	0.0128095	0.0113326	0.0106485	0.0395793	0.0230483	0.0066322	0.0157681	0.0455141	0.0785098	0.1282878	0.1140723	0.0924862	0.0374195	0.0293805	0.0178082	0.0076724	0.0127692	0.0318584	0.08232	0.066118	0.1494935	0.141235	0.1218496	0.0663727	0.0410532	0.0123929	0.1305877	0.3164025	0.2996154	0.1831736	0.2777316	0.2920377	0.314986	0.1617233	0.1163532	0.0853416	0.1820757	0.2349518	0.2274442	0.1899781	0.1795968	0.1121963	0.0958352	0.0883037	0.0722808	0.0243853	0.0207785	0.0178265	0.0257334	0.0358343	0.0047528	0.0259476	0.1754298	0.1274664	0.0987395	0.0869577	0.0799629	0.0638464	0.0349154	0.0744034	0.1156458	0.1906892	0.1678779	0.1090499	0.0951713	0.0166729	0.0653093	0.0706704	0.035435	0.1458852	0.8914493	0.1592593
run25	2.0106395	0.4980244	0.3437268	0.3372148	0.3291113	0.2625366	0.1591086	0.1474323	0.1349274	0.1267148	0.1097824	0.1029484	0.0618571	0.0498224	0.0142722	0.0129006	0.0113985	0.0107071	0.0393647	0.0229757	0.0066111	0.0157034	0.0455901	0.0782509	0.1274655	0.1137771	0.0924158	0.0375943	0.0295061	0.0177802	0.0076047	0.0129421	0.0317479	0.0822399	0.0663422	0.149712	0.1418029	0.1225236	0.066639	0.0417101	0.0126038	0.1307168	0.3166974	0.2996419	0.1835357	0.2776462	0.2931712	0.3146967	0.1605886	0.1161913	0.0855244	0.1831882	0.2339773	0.2268966	0.189377	0.1791884	0.1114748	0.095132	0.0880181	0.071827	0.023834	0.0203209	0.0174769	0.0254549	0.0354785	0.0047544	0.0253473	0.1741837	0.1267199	0.0990189	0.0866584	0.079605	0.0635341	0.034591	0.0737032	0.1148566	0.1892877	0.1677546	0.1082039	0.0948939	0.0165374	0.064759	0.0695193	0.0344876	0.1439167	0.9641162	0.1590731
