t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run21	1.6479069	0.6620271	0.6217706	0.6009748	0.5518309	0.1918124	0.1481694	0.1133622	0.0636248	0.0217776	0.0129835	0.0069504	0.0017134	0.0325607	0.0047109	0.0960145	0.0459662	0.0246631	0.0015259	0.099021	0.0310597	0.41839	0.2795771	0.2162802	0.1989536	0.1208939	0.0591574	0.0434787	0.0172643	0.0988004	0.071361	0.2050403	0.1539674	0.0831078	0.0874289	0.4414779	0.2180442	0.1826343	0.1439107	0.0238133	0.0868322	0.1161254	0.0076006	0.1859348	0.1430903	0.0391006	0.1210128	0.0080038	0.000994500000000002	0.5627839	0.5264483	0.0404719	0.031297	0.0069165	0.2907431	0.0889462	0.0639038	0.4134093	0.0808754
run22	1.6450805	0.6628574	0.6222525	0.6019598	0.5528559	0.1936925	0.1501938	0.1139372	0.0634909	0.0223862	0.013355	0.0074632	0.0017893	0.0323644	0.0044949	0.0968028	0.0458368	0.0238841	0.001523	0.0993413	0.0321615	0.4195914	0.280705	0.2169141	0.199437	0.1208487	0.059491	0.0435302	0.0172199	0.099102	0.0708228	0.2061018	0.1534039	0.0832833	0.0868553	0.4410891	0.2181901	0.1835857	0.1445265	0.0238359	0.0864627	0.1164061	0.007561	0.1863384	0.1436424	0.0391513	0.1217381	0.0079996	0.0010239	0.5636095	0.5271292	0.040707	0.0315506	0.0069123	0.291289	0.0893991	0.0644029	0.4011357	0.0789152
run23	1.6450038	0.6619381	0.6218297	0.6014399	0.5523593	0.1922261	0.148533	0.1132268	0.0635319	0.0223604	0.0127223	0.007096	0.0018667	0.0320752	0.0044808	0.0958435	0.0460066	0.0243071	0.0015004	0.0986335	0.0311207	0.41864	0.2797212	0.2167336	0.1991974	0.1201593	0.0592338	0.0433681	0.0173788	0.0982957	0.0709691	0.2054801	0.1526183	0.0829067	0.0860159	0.4411076	0.2183069	0.1832544	0.1437581	0.0237825	0.0864969	0.1160564	0.0076345	0.1863734	0.1435356	0.0390089	0.1215395	0.0079315	0.0010056	0.5626943	0.5265868	0.0405887	0.0312448	0.0068562	0.2912192	0.0897862	0.0646972	0.4044633	0.0783216
run24	1.6442994	0.6623468	0.6224072	0.6021571	0.5531569	0.1925807	0.1492375	0.1136525	0.063485	0.0224978	0.0133572	0.0074119	0.0017797	0.0320799	0.0046552	0.0967074	0.0458712	0.0240589	0.0015223	0.0991506	0.0315592	0.4193762	0.2812488	0.2181148	0.2007342	0.1217289	0.0596921	0.0437721	0.0173648	0.0993773	0.0711662	0.2060811	0.1549116	0.0830424	0.0867415	0.4424174	0.2191217	0.184263	0.1445502	0.0239668	0.0870267	0.1164817	0.0076687	0.1865276	0.1443316	0.0392946	0.1218133	0.0080709	0.001064	0.5630237	0.5269671	0.040803	0.0314517	0.0068228	0.2911892	0.0901808	0.0647949	0.4199512	0.080757
run25	1.6498698	0.6624638	0.6232724	0.60249	0.5533488	0.1943782	0.1505087	0.1148217	0.0647345	0.022565	0.0128056	0.0072971	0.0017821	0.0324018	0.0047814	0.0974605	0.0461031	0.0244467	0.0016243	0.0975625	0.0314941	0.4199615	0.2811994	0.2183285	0.2001157	0.1214945	0.0594597	0.0436631	0.0174875	0.0987984	0.0714746	0.2054791	0.1538174	0.0825771	0.0857213	0.4421529	0.2176007	0.1825443	0.1440813	0.023816	0.0866954	0.1160421	0.0076818	0.1859194	0.1435473	0.039265	0.1210701	0.0080565	0.0010118	0.5637109	0.5272921	0.0412085	0.0318313	0.0068781	0.2914443	0.0888241	0.0641261	0.4062256	0.0798894
run26	1.6472342	0.6616446	0.6217111	0.6011768	0.5526096	0.1928095	0.1487964	0.1131628	0.0633047	0.0226663	0.0132941	0.0072868	0.00170640000000001	0.0315987	0.004662	0.0960048	0.0452425	0.0240272	0.0015448	0.0976541	0.0316248	0.4190917	0.2797902	0.2164203	0.1992162	0.1209264	0.0598977	0.0438811	0.0174768	0.0983741	0.0711526	0.2048213	0.1531771	0.0834902	0.0857373	0.4415417	0.2185902	0.1836963	0.1443728	0.0236978	0.0870058	0.1162043	0.0076567	0.1867157	0.1440315	0.0391331	0.1218842	0.0078734	0.0009935	0.5620107	0.5259936	0.0405468	0.0312076	0.0069847	0.2910727	0.0897484	0.0646598	0.4124358	0.079208
run27	1.6473965	0.6620169	0.621843	0.6010678	0.5516251	0.1918446	0.1484789	0.1132857	0.0636313	0.0221607	0.0131107	0.0072863	0.0017367	0.0319353	0.0046204	0.0956802	0.0463757	0.0243792	0.0015466	0.0986658	0.031653	0.4181191	0.2786962	0.2163756	0.1986309	0.1198067	0.0590175	0.0434243	0.0173823	0.0988659	0.0711084	0.2045723	0.15353	0.0827336	0.0859375	0.440491	0.2176626	0.1828107	0.1438017	0.023737	0.0867772	0.1160587	0.0076676	0.185946	0.143576	0.039196	0.1214127	0.0080744	0.0010079	0.5629947	0.5269456	0.0412808	0.0318836	0.0068989	0.2915493	0.0896522	0.0640067	0.4161254	0.0804573
run28	1.6461936	0.6620653	0.6216888	0.6007471	0.5514663	0.1924133	0.1492448	0.1136752	0.0639653	0.0222637	0.0131458	0.0073477	0.0017885	0.0322431	0.004653	0.0961478	0.0454936	0.0241705	0.0016197	0.0984599	0.0315532	0.4176929	0.2796491	0.2165034	0.1991039	0.1207601	0.0589629	0.0434941	0.0171751	0.0989561	0.0710742	0.2044636	0.1537903	0.0829936	0.0865022	0.4405821	0.217315	0.182222	0.1438083	0.0238744	0.0871678	0.1159278	0.0076738	0.1855254	0.1432872	0.0391259	0.1210148	0.0079768	0.0009968	0.5629789	0.526485	0.040889	0.0315067	0.0067912	0.2898369	0.0894106	0.063543	0.4095671	0.0797446
run29	1.6444081	0.6627811	0.6221351	0.6021097	0.5526164	0.191373	0.1477884	0.1124652	0.0623787	0.0217311	0.0128998	0.0071238	0.0017479	0.0321546	0.0046822	0.0949777	0.0453904	0.0239827	0.0015257	0.0984296	0.0318047	0.4185813	0.2796463	0.2169115	0.1992872	0.1208795	0.0588288	0.0434009	0.0173034	0.0987471	0.0712376	0.2047291	0.1535428	0.0833891	0.0859338	0.4414236	0.2184134	0.1832679	0.144489	0.0237783	0.0867433	0.1159465	0.0076906	0.1865014	0.1435532	0.0392519	0.1213165	0.007881	0.0009935	0.5632268	0.5272055	0.0405237	0.0313419	0.006908	0.2913558	0.0897014	0.0646935	0.404458	0.0783375
run30	1.6474679	0.6626836	0.6230297	0.6025102	0.5539354	0.1944319	0.1503802	0.1145452	0.0644903	0.0221212	0.01325	0.00731410000000001	0.0017471	0.0320756	0.0044177	0.0966394	0.0463144	0.0241526	0.0014562	0.0987463	0.0317661	0.4204694	0.2804343	0.2167246	0.1998637	0.1210166	0.0588509	0.0434643	0.0172989	0.099342	0.0715807	0.2059011	0.1543635	0.0831099	0.0871614	0.4419722	0.2193954	0.1841799	0.145137	0.023983	0.0868813	0.1167612	0.0075694	0.1864278	0.1437248	0.0394445	0.1216267	0.0080162	0.0010374	0.5641957	0.5275676	0.0409414	0.0313855	0.0068379	0.2919192	0.0901262	0.0641836	0.4189397	0.081591
run31	1.6452168	0.6622793	0.6219805	0.6014551	0.5526553	0.1907978	0.1481215	0.1128566	0.0622831	0.0221308	0.0134096	0.007303	0.0017804	0.0320793	0.0046653	0.0954596	0.0446616	0.0240173	0.0015218	0.0974048	0.0320816	0.4197054	0.2802314	0.2174023	0.1999169	0.1212758	0.0596754	0.0438695	0.017464	0.0985931	0.0710509	0.2050919	0.1545514	0.0829579	0.0866375	0.4416768	0.2198715	0.1848368	0.145738	0.0240291	0.0873464	0.1174847	0.0076139	0.1869748	0.1440206	0.0394939	0.122445	0.0080243	0.0009935	0.5636936	0.5277301	0.0408371	0.0315299	0.0069295	0.2910528	0.0891354	0.0646176	0.4052379	0.0784794
run32	1.6442359	0.6621295	0.6216003	0.6006145	0.5521299	0.1914471	0.1478628	0.1123571	0.0632399	0.0224745	0.0133513	0.0072954	0.0018825	0.0319172	0.0044351	0.0947698	0.0460045	0.024453	0.0014711	0.0982941	0.0314411	0.4173672	0.2779467	0.215481	0.198016	0.1207447	0.0591529	0.0433774	0.0172589	0.0982377	0.0708417	0.2041727	0.1526374	0.0826206	0.0853084	0.4400347	0.2179142	0.1828351	0.143907	0.0238525	0.0867146	0.1161889	0.0075745	0.1855614	0.1432212	0.0391306	0.1212478	0.0078276	0.000991	0.5627695	0.5266697	0.040814	0.0315208	0.0068059	0.2913072	0.0897337	0.0647526	0.4151699	0.079679
