t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run11	1.91632181304935	0.708377238523074	0.66985384860757	0.64902739139543	0.60047487700115	0.243379981320934	0.194017476721164	0.151513279696015	0.103790762916854	0.0503295342382881	0.0372229507874606	0.0276288250337483	0.0175991666066697	0.067642185960702	0.0240469824108795	0.138211813094345	0.0924450300834958	0.0591080610919454	0.0239419679016049	0.158269326448678	0.0923333872456377	0.47501444719764	0.330290566071696	0.265560489225539	0.247523577696115	0.161211674976251	0.090347807059647	0.0684508186740663	0.0292447218339083	0.138222097445128	0.103678156442178	0.251004023383831	0.204307466986651	0.127774496845158	0.16059339080046	0.498301465966702	0.268090234218289	0.228142817979101	0.183954017584121	0.0365863559022049	0.129278230988451	0.150849472751362	0.0160026494225289	0.232214309734513	0.183888336443178	0.055393116279186	0.157960908329584	0.0187849652967352	0.00564165576721164	0.603754101834908	0.568004440008	0.0544065379181041	0.0424525221188941	0.0132121067046648	0.340323501764912	0.131419694770261	0.101147675676216	0.708042159242038	0.160873751612419
run12	1.92348651442428	0.70796066259187	0.669776843437828	0.649096346107695	0.600557222978851	0.244409525423729	0.194865459067047	0.152204205139743	0.104237967986601	0.0507082661416929	0.0374391051497425	0.0277611210639468	0.0176837923253837	0.0678715406229689	0.0239680201889906	0.138915368136593	0.0930237696615169	0.0594121984950752	0.0242659693415329	0.159249480180991	0.0929178707564622	0.475430887540623	0.330437064881756	0.265446833258337	0.24753230280486	0.1610341699915	0.0902797805359732	0.068263509839508	0.0292104241537923	0.13832977439128	0.10364725159742	0.251213891045448	0.204310869821509	0.12800501040448	0.161616270426479	0.498903754092295	0.268247882610869	0.228259879241038	0.184182416449178	0.0364917741012949	0.129555858347083	0.150857507214639	0.0160522568921554	0.232261375266237	0.183907546077696	0.0554196166291685	0.157975854277286	0.0190221603919804	0.0057489212039398	0.603562524353782	0.567852274776261	0.054334885080746	0.0423952435328234	0.0132306493725314	0.340538891580421	0.131321682460877	0.101015834728264	0.71614753420329	0.163084445442728
run13	1.92044810020499	0.707394352287386	0.669058328753562	0.64833772880356	0.599788414274286	0.245177031873406	0.195512172926354	0.152659361761912	0.104411177331133	0.0508528148642568	0.0374492102294885	0.0277611271936403	0.0176987478376081	0.0678819752262387	0.0240598476076196	0.139421248067597	0.0936325259937003	0.0595219673966302	0.0241025227488626	0.159512370256487	0.0927861449927504	0.474269926423679	0.329439284610769	0.264365243967802	0.246429767631618	0.160506710884456	0.0898435498225089	0.0679558141542923	0.0290235525473726	0.137539073901305	0.103183395170241	0.250305787320634	0.203821886130693	0.128024986690665	0.16108544119794	0.497774311154442	0.266817846417679	0.227101962671866	0.183285461101945	0.036347995440228	0.129020023223839	0.150061933908305	0.0159083724663767	0.230915704739763	0.182804737173141	0.0549135705614719	0.157021705134743	0.0187150235888206	0.00564708392580371	0.603048022128894	0.567409624613769	0.0543432650517474	0.042401418959052	0.0132147629318534	0.340429939463027	0.131501708439578	0.101215804159792	0.711286964676766	0.161597017244138
run14	1.90771288047098	0.708150223713814	0.669585626708665	0.648759704929754	0.600093987335633	0.243868122968852	0.194319815649218	0.15175359439528	0.103999865951702	0.0508317823958802	0.0375010589220539	0.0277539662566872	0.0176173761261937	0.0676843735213239	0.0238634942102895	0.13858909439528	0.0929284730063497	0.059326814859257	0.0240572673966302	0.158533872546373	0.0929354606569671	0.47460662320384	0.330037433278336	0.26510149279536	0.247069543482826	0.160976086665667	0.0901922743562822	0.0683087344632768	0.0291913552972351	0.138020485760712	0.103567758512074	0.250757724043798	0.203939962706865	0.127554690985451	0.16110423280336	0.497790406279686	0.267242605774711	0.227491534663267	0.183434262506875	0.0364433256337183	0.129020598685066	0.150364711974401	0.0159740503974801	0.231366388880556	0.183179251187441	0.0550947448877556	0.157376356827159	0.0188330862906855	0.00568878748062597	0.603492671856407	0.567722199225039	0.0544225740462977	0.0424752790060497	0.013264104979751	0.340300084475776	0.131133401034948	0.101070962906855	0.697553811704415	0.158736831903405
run15	1.91839867720114	0.707004250932453	0.668675681530923	0.647972639523024	0.599455928418579	0.244544817569122	0.195074738238088	0.152353512749363	0.104368812074396	0.0506477373181341	0.0373806479726014	0.0277184367331633	0.0175147718364082	0.0679447928953552	0.0239931684415779	0.139050206869657	0.0931599814659267	0.0594325183640818	0.0242612274786261	0.159012451497425	0.0928583619969002	0.47427047139143	0.329457393775311	0.264585401314934	0.246593186355682	0.160771930688466	0.0900812853057347	0.0681181004649768	0.0291272864956752	0.137721397475126	0.103274230288486	0.250257339288036	0.203817448717564	0.127842626158692	0.160859831743413	0.497471351547423	0.267192724028799	0.227394920503975	0.18337584979251	0.0364414971451427	0.129096421423929	0.150275207724614	0.0159653743762812	0.231240013749313	0.183099195720214	0.0551262300684966	0.157106563266837	0.0188430229188541	0.00570219274536273	0.602721088425579	0.567069047837608	0.0542432324733763	0.0422779541872906	0.0132835095445228	0.340133915354232	0.131208567101645	0.100949115369232	0.708445413424329	0.160601437373131
run16	1.92680949049548	0.707453793275336	0.669057517159142	0.648316633018349	0.59978099820009	0.243317575541223	0.19379156260187	0.151270842292885	0.103807868886556	0.0508018515574221	0.0374186928253587	0.0277288837308135	0.0175709642067897	0.0673848423678816	0.0238412247737613	0.138076649427529	0.0921570932453377	0.0588057790710464	0.0241930877906105	0.157954375121244	0.0924942262936853	0.474613267741613	0.329772413389331	0.264995958182091	0.247110127413629	0.160949982160892	0.0901036087545623	0.0681729470626469	0.0291512793510324	0.138045351332433	0.10354468379581	0.250618754757262	0.204166509014549	0.127953642942853	0.160548591685416	0.497564544817759	0.267292584490775	0.227473570581471	0.183525538573071	0.0364495518124094	0.129145023418829	0.150412728318584	0.0159336896105195	0.231394267091645	0.183206800129993	0.0551990792210389	0.15730398079596	0.018888402259887	0.00572171104444778	0.603143895330233	0.567521629243538	0.0544320759412029	0.0425039528273586	0.0132677850457477	0.340306299755012	0.131688176631168	0.101369253567322	0.713363807289636	0.162202108634568
run17	1.9237311980951	0.707929739218039	0.669762131973401	0.648965195675216	0.600387092675366	0.244648627858607	0.195062783530823	0.152340388320584	0.104580333938303	0.0507995524923754	0.0375298041497925	0.0278737764761762	0.0177198940952952	0.0681324335483226	0.0240558228688566	0.139116565461727	0.0930031695965202	0.0593146447927604	0.0245378222938853	0.159019891635418	0.0925375904754762	0.475049293065347	0.33003963420829	0.265148502934853	0.247236721048948	0.16089860539473	0.0902298540322984	0.0683076528873556	0.0291884625468727	0.138082365046748	0.10360333179841	0.250690493415329	0.204140828173591	0.127768110544473	0.161110989940503	0.498439766541673	0.268070500679966	0.228120245637718	0.1839405859957	0.0365515134293285	0.129581960851957	0.150793256352182	0.016017895300235	0.232104695410229	0.183748600944953	0.0553208420728964	0.157795683150842	0.0188652204839758	0.00568261270936453	0.603408299215039	0.567702334113294	0.0544074492425379	0.0424614473276336	0.0132501564521774	0.340384872321384	0.131512126148693	0.101317586815659	0.718690158517074	0.163353057277136
run18	1.91371813787311	0.707175161301935	0.668862840812959	0.648150783375831	0.599726121133943	0.244143471696415	0.194796519354032	0.152045095330233	0.104180918674066	0.0507815112294385	0.0374663518374081	0.0278345217689116	0.0175743943902805	0.0678547663216839	0.0239909797760112	0.138799439043048	0.0928980763211839	0.0593295403429829	0.0239680097695115	0.158630634518274	0.0929161325533723	0.474504441097945	0.329785727308635	0.264798984115794	0.246909621743913	0.160898448697565	0.0898494322933853	0.0680506552072396	0.029075893160342	0.137907572021399	0.103372949852507	0.250513674576271	0.203792917229139	0.128001145472726	0.160743996775161	0.497749559717014	0.267469754672266	0.227450595960202	0.183519830883456	0.0364289427678616	0.129358096755162	0.150410476341183	0.0160324447527624	0.231638999890005	0.183333106814659	0.0551060246237688	0.157544683025849	0.0187018139493025	0.00563955647717614	0.60290395179741	0.567244590640468	0.0544304479426029	0.0425069318934053	0.0132185563521824	0.339970197920104	0.130912158237088	0.100606736348183	0.713048655767212	0.161844574146293
run19	1.93112772529374	0.706996614684266	0.668567957172141	0.647816146577671	0.599207158772061	0.243052491185441	0.193781537233138	0.151249487110644	0.103684024858757	0.0506966188340583	0.037330383520824	0.0276884200639968	0.0175556414579271	0.0673829530173491	0.0239879140142993	0.138028489380531	0.0924097885105745	0.0589570704714764	0.0239518278136093	0.157693541507925	0.0917861884255787	0.473811890095495	0.329151135588221	0.264244422123894	0.24630550979451	0.160266315574221	0.089694094240288	0.0679678208539573	0.0290699025698715	0.137428051097445	0.103060762526874	0.250003612249388	0.203453081035948	0.127519067811609	0.160400873326334	0.497065607139643	0.26663534160792	0.226936456512174	0.183062777461127	0.0363397337833108	0.128675569866507	0.149973835058247	0.0158897783910804	0.230880893090345	0.182793021058947	0.0549945847707615	0.15695767119644	0.0186377793060347	0.0056259404779761	0.602720504234788	0.567081269091545	0.0545559443277836	0.0425677786910654	0.0133089955902205	0.339577716234188	0.131218732413379	0.100858119329034	0.715034828673566	0.162364174046298
run20	1.9076615059897	0.706464371546423	0.668180927688616	0.647484850447478	0.599141281295935	0.244502705294735	0.194992263946803	0.15226325679216	0.104273677331133	0.0508218087495625	0.0374034407279636	0.0277850845857707	0.0175613982150892	0.0680454354432278	0.0239521567171641	0.13912930619469	0.0928417529573521	0.0592357065046748	0.0242995329083546	0.158853434783261	0.0925844062646868	0.47402528720564	0.329414254167292	0.264602821233938	0.246681218124094	0.160595483010849	0.0899333818259087	0.0680307470676466	0.0290672386880656	0.137835676636168	0.103410118664067	0.250305089740513	0.203777450182491	0.127820969056547	0.160620976746163	0.497158186685666	0.266910151242438	0.227138691850407	0.183269601939903	0.0363490726313684	0.128771687675616	0.150098320083996	0.0159005260886956	0.231169284985751	0.183023324063797	0.0550305496125194	0.157227320548973	0.0189909414229289	0.00573437207639618	0.60224874819259	0.566595350172491	0.0543122059297035	0.0423501510574471	0.013214511179441	0.339780004019799	0.131334573716314	0.101167056012199	0.706343320903955	0.160829514084296
