xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded
t_n100	0.68838866884341	0.00615040115032986	0.20580149673553	4.61930286582631	ST(0.68838866884341,0.00615040115032986,0.20580149673553,4.61930286582631)	ST(0.688,0.006,0.206,4.619)
t_n101	0.661167366389282	0.00578312213055266	0.217624329594585	5.82864399706915	ST(0.661167366389282,0.00578312213055266,0.217624329594585,5.82864399706915)	ST(0.661,0.006,0.218,5.829)
t_n102	0.480723668052664	0.00751189912319323	0.105265031688044	4.7920121101095	ST(0.480723668052664,0.00751189912319323,0.105265031688044,4.7920121101095)	ST(0.481,0.008,0.105,4.792)
t_n103	0.607522043494562	0.00465383192905073	0.0525580538209307	4.87598651271335	ST(0.607522043494562,0.00465383192905073,0.0525580538209307,4.87598651271335)	ST(0.608,0.005,0.053,4.876)
t_n104	0.592579098339906	0.00463926132150793	0.0784052855036226	4.54455488770461	ST(0.592579098339906,0.00463926132150793,0.0784052855036226,4.54455488770461)	ST(0.593,0.005,0.078,4.545)
t_n105	0.405696536600904	0.0148996910069129	0.566129197630256	18.0184403100771	ST(0.405696536600904,0.0148996910069129,0.566129197630256,18.0184403100771)	ST(0.406,0.015,0.566,18.018)
t_n106	0.318837569633975	0.0157818197944724	0.11357502890039	13.1155618688138	ST(0.318837569633975,0.0157818197944724,0.11357502890039,13.1155618688138)	ST(0.319,0.016,0.114,13.116)
t_n107	0.350437611410796	0.0148508731900246	0.551554115732789	14.5776729549741	ST(0.350437611410796,0.0148508731900246,0.551554115732789,14.5776729549741)	ST(0.35,0.015,0.552,14.578)
t_n108	0.0866944836093212	0.00931217063832188	0.518089359724051	27.2719962128165	ST(0.0866944836093212,0.00931217063832188,0.518089359724051,27.2719962128165)	ST(0.087,0.009,0.518,27.272)
t_n109	0.312931596366443	0.0151657134006648	0.581699072230509	14.5695868748361	ST(0.312931596366443,0.0151657134006648,0.581699072230509,14.5695868748361)	ST(0.313,0.015,0.582,14.57)
t_n110	0.547665391911862	0.00672870535446409	0.0267734023417177	7.32002416428352	ST(0.547665391911862,0.00672870535446409,0.0267734023417177,7.32002416428352)	ST(0.548,0.007,0.027,7.32)
t_n111	0.467022050578148	0.0169391430841902	-0.860101491765607	26.0342886262806	ST(0.467022050578148,0.0169391430841902,-0.860101491765607,26.0342886262806)	ST(0.467,0.017,-0.86,26.034)
t_n112	0.366750240875999	0.0195490994868732	0.0403657839490584	59.8952343967838	ST(0.366750240875999,0.0195490994868732,0.0403657839490584,59.8952343967838)	ST(0.367,0.02,0.04,59.895)
t_n113	0.174604116760078	0.0293724513754862	2.30066681191109	20.2749094101909	ST(0.174604116760078,0.0293724513754862,2.30066681191109,20.2749094101909)	ST(0.175,0.029,2.301,20.275)
t_n114	0.136849579728236	0.0251725418793224	2.5037840025931	18.6591973777929	ST(0.136849579728236,0.0251725418793224,2.5037840025931,18.6591973777929)	ST(0.137,0.025,2.504,18.659)
