Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: crocidura_batesi | Num gaps: 197428 | Missing taxon?: N | % Missing data: 99.7080896538489
Taxon: crocidura_beatus | Num gaps: 196956 | Missing taxon?: N | % Missing data: 99.4697130389988
Taxon: crocidura_beccarii | Num gaps: 197478 | Missing taxon?: N | % Missing data: 99.7333414138966
Taxon: crocidura_brunnea | Num gaps: 196808 | Missing taxon?: N | % Missing data: 99.3949678292577
Taxon: crocidura_buettikoferi | Num gaps: 197440 | Missing taxon?: N | % Missing data: 99.7141500762603
Taxon: crocidura_canariensis | Num gaps: 197480 | Missing taxon?: N | % Missing data: 99.7343514842985
Taxon: crocidura_caspica~ | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_crenata | Num gaps: 197448 | Missing taxon?: N | % Missing data: 99.7181903578679
Taxon: crocidura_crossei | Num gaps: 197472 | Missing taxon?: N | % Missing data: 99.7303112026908
Taxon: crocidura_cyanea | Num gaps: 197422 | Missing taxon?: N | % Missing data: 99.7050594426431
Taxon: crocidura_douceti | Num gaps: 197454 | Missing taxon?: N | % Missing data: 99.7212205690737
Taxon: crocidura_dsinezumi | Num gaps: 197606 | Missing taxon?: N | % Missing data: 99.7979859196186
Taxon: crocidura_eburnea | Num gaps: 197416 | Missing taxon?: N | % Missing data: 99.7020292314374
Taxon: crocidura_fingui | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_flavescens | Num gaps: 197438 | Missing taxon?: N | % Missing data: 99.7131400058584
Taxon: crocidura_foetida | Num gaps: 197174 | Missing taxon?: N | % Missing data: 99.5798107128067
Taxon: crocidura_fuliginosa | Num gaps: 196048 | Missing taxon?: N | % Missing data: 99.011141076533
Taxon: crocidura_fulvastra | Num gaps: 197416 | Missing taxon?: N | % Missing data: 99.7020292314374
Taxon: crocidura_fumosa | Num gaps: 197618 | Missing taxon?: N | % Missing data: 99.80404634203
Taxon: crocidura_fuscomurina | Num gaps: 197424 | Missing taxon?: N | % Missing data: 99.7060695130451
Taxon: crocidura_glassi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_goliath | Num gaps: 197420 | Missing taxon?: N | % Missing data: 99.7040493722412
Taxon: crocidura_grandiceps | Num gaps: 197454 | Missing taxon?: N | % Missing data: 99.7212205690737
Taxon: crocidura_grassei | Num gaps: 197448 | Missing taxon?: N | % Missing data: 99.7181903578679
Taxon: crocidura_grayi | Num gaps: 196764 | Missing taxon?: N | % Missing data: 99.3727462804157
Taxon: crocidura_grayi_halconus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_hikmiya | Num gaps: 197074 | Missing taxon?: N | % Missing data: 99.5293071927113
Taxon: crocidura_hildegardeae | Num gaps: 197460 | Missing taxon?: N | % Missing data: 99.7242507802794
Taxon: crocidura_hirta | Num gaps: 197426 | Missing taxon?: N | % Missing data: 99.707079583447
Taxon: crocidura_horsfieldii | Num gaps: 197074 | Missing taxon?: N | % Missing data: 99.5293071927113
Taxon: crocidura_ichnusae | Num gaps: 197420 | Missing taxon?: N | % Missing data: 99.7040493722412
Taxon: crocidura_indochinensis | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_jouvenetae | Num gaps: 197452 | Missing taxon?: N | % Missing data: 99.7202104986718
Taxon: crocidura_lamottei | Num gaps: 197442 | Missing taxon?: N | % Missing data: 99.7151601466622
