Tree,Rank,Name,Action,Outside_taxa,Change_from ,Change_to,Force_monophyletic,Reference,Note,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_kolbi,cercopithecus_mitis_kolbi,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_doggetti,cercopithecus_mitis_doggetti,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_kandti,cercopithecus_mitis_kandti,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Trachypithecus poliocephalus,No,trachypithecus_francoisi_francoisi,N/A,N/A,No,Bleisch et al. 2008 IUCN,"Leave as it is. I did not find much information about it, but see Bleisch et al. 2008.",,,,,,,,
Euarchonta,Species,Trachypithecus phayrei,No,N/A,N/A,N/A,No,N/A,Leave as it is. I did not find much information about it.,,,,,,,,
Euarchonta,Species,Trachypithecus francoisi,No,N/A,N/A,N/A,No,N/A,Leave as it is. I did not find much information about it.,,,,,,,,
Euarchonta,Species,Cercopithecus nictitans,No,N/A,N/A,N/A,No,Guschanski et al. 2013,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Galago senegalensis,No,galago_moholi,N/A,N/A,No,Pozzi et al. 2015,Similar arrangement observed by Pozzi et al. 2015.,,,,,,,,
Euarchonta,Species,Saimiri boliviensis,Check,saimiri_sciureus,N/A,N/A,No,Chiou et al. 2011,Saimiri sciureus appears to be wrong and most likely sequence NC_012775 belongs to S. boliviensis boliviensis as suggested by Chiou et al. 2011.,,,,,,,,
Euarchonta,Species,Ateles geoffroyi,Yes,N/A,N/A,N/A,Yes,Moralez-Jimenez et al. 2015,Ateles geoffroyi seems to be in the wrong position. Try forcing monophyly and check results.,,,,,,,,
