t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run11	2.05268664066797	0.635614572301385	0.436241928378581	0.341885159452027	0.309708507344633	0.253885196495175	0.231339727723614	0.116526874556272	0.0913443588170591	0.0173054314784261	0.162415970356482	0.19388835879206	0.0909475417579121	0.0774238315484226	0.0652197338083096	0.143799147282636	0.0562013752312384	0.0525719530623469	0.0444285271436428	0.00965880960951952	0.000356044647767612	0.55110859941003	0.286899851467427	0.196225734353282	0.091503789820509	0.00131230603969802	0.093490817219139	0.376209134783261	0.141719915784211	0.0169518984650767	0.738302523053847	0.158592067246638
run12	2.05682811581921	0.635432389560522	0.436158721388931	0.341723924478776	0.309553011449428	0.253797888110594	0.231294928338583	0.116506033638318	0.0913250259787011	0.0173046915154242	0.162483424158792	0.193852370701465	0.0908500871556422	0.0774012982700865	0.0651959158092095	0.144230536083196	0.0565611233238338	0.0529359289435528	0.0447878308884556	0.00970798897055147	0.000357857077146143	0.550850920473976	0.286281842082896	0.195799196715164	0.0914092311584421	0.00132209193040348	0.0933740328333583	0.376076557037148	0.141875070901455	0.0170013423628819	0.741341247452627	0.158891894305285
run13	2.04078218833058	0.635354061691915	0.436049558662067	0.34189399699515	0.30974211939903	0.253945336328184	0.231358162281886	0.116539495655217	0.0912961249987501	0.0173236639318034	0.162613574556272	0.193898129763512	0.091050219259037	0.0774747346032698	0.0652758684415779	0.14389828420579	0.0563422887105645	0.052697804039798	0.0445571584670766	0.00968969695515224	0.000353985325733713	0.550914899870007	0.286609431888406	0.196005003909805	0.0915126767861607	0.00130952261386931	0.0935212169341533	0.376187433503325	0.141941437168142	0.0170073072296385	0.734312565676716	0.15816001379431
run14	2.04838376845158	0.635699173436328	0.436172453522324	0.341886845337733	0.309708091810409	0.253857659542023	0.231325324933753	0.116488420648968	0.0912714871306435	0.0173059163241838	0.162564814984251	0.193923873306335	0.090504797120144	0.0770364609469527	0.0649040158342083	0.143982612529374	0.0563189834708265	0.0526585922103895	0.0445067452527374	0.00967483622818859	0.000356893120343983	0.551047559387031	0.286439037153142	0.19595038119594	0.0915210282135893	0.00132858690565472	0.0933207427328634	0.376405884415779	0.141957993160342	0.0170011621268937	0.737027802294885	0.158010705274736
run15	2.04299438379581	0.635800568756562	0.436407275976201	0.341992637978101	0.309814489610519	0.253998985680716	0.231434373296335	0.116487153957302	0.0912761000749962	0.0173088666666667	0.162657598110095	0.194151208259587	0.0907226769111544	0.0772095546472676	0.0650349762061897	0.144061786385681	0.0564510460826959	0.0528150928553572	0.0446564746662667	0.00969232586870656	0.000355461706914654	0.551142524588771	0.287092907369632	0.196487322028899	0.0918232502774861	0.00134021889905505	0.0936065100944953	0.376127698875056	0.141839926503675	0.0169848720263987	0.730604192900355	0.156853473906305
run16	2.04126580782461	0.635720537373131	0.43640579039048	0.342024079156042	0.309826906954652	0.254083812849358	0.23151903079846	0.116611474696265	0.0912842274886256	0.0173210870656467	0.162738195645218	0.194013989410529	0.0910008587670616	0.0774637226688666	0.0652789658017099	0.143792409684516	0.0562363847257637	0.0526057024448778	0.0444813742612869	0.0096691590920454	0.000355006999650017	0.551290339263037	0.28729230420979	0.196527101349933	0.091887915959202	0.00131851509924504	0.0937538340382981	0.376817627733613	0.142289074126294	0.0170411534273286	0.738387715094245	0.158971652222389
run17	2.04378634689266	0.635498932568372	0.436519807429629	0.341958338813059	0.309725289810509	0.253926641312934	0.231368624703765	0.116473971111444	0.0912469330583471	0.0172909456227189	0.162631289120544	0.194047745452727	0.0909807798260087	0.0774682704214789	0.0653031083145843	0.144883837573121	0.0568473476176191	0.053171797440128	0.0449629735363232	0.00978196426678666	0.000358928208589571	0.551064269531523	0.286910660146993	0.196244533438328	0.0916634253037348	0.00132721975901205	0.0936055789610519	0.376639732488376	0.142401855877206	0.0170515511874406	0.73816712539873	0.158692854927254
run18	2.03617944366782	0.635576214899255	0.436146703179841	0.341897520018999	0.309648730128494	0.253859690635468	0.23131736719164	0.116514578306085	0.0912822785160742	0.0173083510674466	0.162573528588571	0.194092527083646	0.0909462624368782	0.0774396440327984	0.0652226273486326	0.144051802364882	0.0564380809509525	0.0527983129643518	0.0446246662566872	0.00969326480675966	0.000357272336383181	0.551153499710014	0.287707959022049	0.196865873306335	0.0921292481225939	0.00133441242437878	0.093958401379931	0.376489263386831	0.14205640460977	0.0170343241787911	0.733694387295635	0.157751819049048
run19	2.04148592328384	0.635458163466827	0.436544818214089	0.342144513044348	0.309977469676516	0.254208293300335	0.231631052517374	0.116727096660167	0.0914543389480526	0.0173658305734713	0.162843471846408	0.194309336823159	0.0911931817309135	0.077614500759962	0.0654467980500975	0.144210630253487	0.0564013717514124	0.0527675044647768	0.044598505179741	0.00969184344282786	0.000357011674416279	0.551021980235988	0.287080340942953	0.196201795100245	0.09159738740063	0.00133158170091495	0.0937330659817009	0.376395838228089	0.142072014679266	0.0170334606469677	0.734762678381081	0.158055973536323
run20	2.03683675727214	0.635780149702515	0.436166384440778	0.341865367051647	0.309822118079096	0.254054854147293	0.231481067091645	0.116544336128194	0.091259816139193	0.0172927311934403	0.16270630038998	0.19413276019699	0.0907423770311484	0.0772381294985251	0.0650665924953752	0.143265314369282	0.0559635637668117	0.0523425084145793	0.0442430491575421	0.00960899221538923	0.000351649892505375	0.551034685185741	0.286743729088546	0.196178792425379	0.0916374363081846	0.00131736818159092	0.0933868987650617	0.37614856120694	0.141962123578821	0.0170054318434078	0.729456272356382	0.156527960291985
run21	2.04451096681166	0.635626345212739	0.436488805974701	0.342065882280886	0.309835991910405	0.254025548262587	0.231509511424429	0.116777746882656	0.0915136244737763	0.0173456425428729	0.162675419639018	0.193991174521274	0.0910978104094795	0.0775122141492925	0.0652938650917454	0.144272464426779	0.0565193856057197	0.0528571279586021	0.0446928916254187	0.00972237104644768	0.000355731398430079	0.551217106744663	0.287400100054997	0.196417566086696	0.0917582946702665	0.00131806640667967	0.0939103539823009	0.376739638958052	0.142265169516524	0.017094786680666	0.73513458180591	0.158230081525924
