Mean_time	Mean_qlow	Mean_qup	Priors
t_n920	4.588	3.61	5.66	0
t_n921	3.335	2.48	4.29	0
t_n922	2.607	1.57	3.72	0
t_n923	2.949	2.04	4.01	0
t_n924	4.029	2.94	5.19	0
t_n925	1.365	0.81	2.09	0
t_n926	4.699	3.38	6.09	0
t_n927	7.112	4.36	9.97	0
t_n928	11.744	9.54	13.81	0
t_n929	10.195	7.63	12.61	0
t_n930	4.112	2.4	6.02	0
t_n931	2.69	1.22	4.53	0
t_n932	1.93	0.75	3.56	0
t_n933	6.885	4.33	10.33	0
t_n934	5.297	2.98	8.78	0
t_n935	2.123	0.7	4.35	0
t_n936	5.31	3	8.88	0
t_n937	15.356	13.48	17.24	0
t_n938_Mauratus-Cgriseus	13.46	11.72	15.24	ST(0.088,0.022,3.756,209.065) 
t_n939	9.53	8.03	11.14	0
t_n940	8.467	7.08	9.94	0
t_n941	4.411	3.36	5.57	0
t_n942	3.433	2.67	4.29	0
t_n943	1.536	1.04	2.14	0
t_n944	2.665	1.78	3.62	0
t_n945	5.15	3.83	6.71	0
t_n946	4.338	2.99	5.82	0
t_n947	5.249	3.69	7.25	0
t_n948	3.544	2.25	5.09	0
t_n949	2.415	1.35	3.82	0
t_n950	13.622	11.36	15.9	0
t_n951	9.857	7.28	12.52	0
t_n952	1.831	1.01	2.99	0
t_n953	1.695	0.59	3.47	0
t_n954	26.008	23.57	28.33	0
t_n955	25.86	23.41	28.2	0
t_n956	22.178	19.65	24.59	0
t_n957	20.468	17.85	22.97	0
t_n958	16.396	13.47	19.27	0
t_n959	14.051	11.23	17.07	0
t_n960	9.316	6.82	12.16	0
t_n961	5.465	3.9	7.69	0
t_n962	4.819	3.39	6.8	0
t_n963	3.605	2.4	5.11	0
t_n964	2.119	1.28	3.25	0
t_n965	0.079	0.01	0.24	0
t_n966	1.882	1.02	3.05	0
t_n967	1.653	0.85	2.82	0
t_n968	8.087	5.19	11.03	0
t_n969	18.175	15.53	20.81	0
t_n970	14.82	11.97	17.69	0
t_n971	10.508	7.82	13.31	0
t_n972	4.417	2.67	6.65	0
t_n973	6.344	3.88	9.67	0
t_n974	6.578	3.84	10.28	0
t_n975	20.748	18.08	23.3	0
t_n976	16.82	14.25	19.31	0
t_n977	16.03	13.49	18.51	0
t_n978	14.296	11.75	16.87	0
t_n979	10.582	7.74	13.45	0
t_n980	7.946	4.94	11.09	0
t_n981	5	3.22	7.5	0
t_n982	1.059	0.45	2.01	0
t_n983	0.638	0.2	1.35	0
t_n984	1.331	0.24	3.37	0
t_n985	8.765	6.16	11.39	0
t_n986	4.684	2.96	6.84	0
t_n987	2.29	1.18	3.77	0
t_n988	11.407	8.65	14.03	0
t_n989	1.832	0.86	3.26	0
t_n990	1.234	0.49	2.39	0
t_n991	25.515	23.03	27.89	0
t_n992	19.543	16.98	22.13	0
t_n993	17.744	15.26	20.3	0
t_n994	15.624	12.8	18.38	0
t_n995	10.702	8.45	13.11	0
t_n996	7.857	5.89	10.05	0
t_n997	4.884	3.52	6.53	0
t_n998	2.295	1.33	3.54	0
t_n999	1.705	0.94	2.72	0
t_n1000	1.279	0.64	2.16	0
t_n1001	0.259	0.05	0.64	0
t_n1002	0.033	0	0.12	0
t_n1003	0.229	0.04	0.57	0
t_n1004	4.875	3.23	6.94	0
t_n1005	2.326	0.73	4.7	0
t_n1006	17.241	14.76	19.8	0
t_n1007	4.768	3.14	6.87	0
t_n1008	1.079	0.39	2.14	0
t_n1009	5.021	2.33	9.5	0
t_n1010	3.001	1.16	5.7	0
t_n1011_MURINAE	17.996	15.36	20.66	ST(0.089,0.024,3.794,547.445)
t_n1012	30.274	26.56	33.7	0
t_n1013	13.688	10.77	17.27	0
t_n1014	9.298	7.1	12.01	0
t_n1015	5.24	3.84	7.05	0
t_n1016	3.494	2.45	4.83	0
t_n1017	2.154	1.19	3.47	0
t_n1018	1.215	0.76	1.84	0
t_n1019	0.272	0.13	0.48	0
t_n1020	3.876	2.71	5.32	0
t_n1021	4.979	3.54	6.88	0
t_n1022	3.305	2.28	4.63	0
t_n1023	1.283	0.81	1.93	0
t_n1024	1.015	0.65	1.51	0
t_n1025	0.05	0.02	0.1	0
t_n1026	1.134	0.74	1.68	0
t_n1027	5.429	3.78	7.74	0
t_n1028	3.271	2.14	4.83	0
t_n1029	1.86	1.09	2.95	0
t_n1030	3.157	2.07	4.68	0
t_n1031	27.837	24.15	31.5	0
t_n1032	15.176	11.18	19.77	0
t_n1033	8.794	5.54	12.72	0
t_n1034	7.466	4.84	10.89	0
t_n1035	6.759	4.31	10.11	0
t_n1036	5.683	3.53	8.72	0
t_n1037	1.569	0.9	2.59	0
t_n1038	6.622	4.29	9.99	0
t_n1039	10.91	7.69	14.82	0
t_n1040	5.921	3.99	9.38	0
t_n1041	4.984	3.5	7.37	0
t_n1042	9.173	3.09	18.12	0
t_n1043	36.976	33.77	39.94	0
t_n1044	32.302	29.04	35.42	0
t_n1045	22.668	19.21	26.27	0
t_n1046	16.826	13.35	20.37	0
t_n1047	12.193	9.21	15.43	0
t_n1048	9.394	6.61	12.45	0
t_n1049	7	4.58	10.15	0
t_n1050	5.952	3.84	8.9	0
t_n1051	3.366	1.86	5.28	0
t_n1052	0.57	0.18	1.24	0
t_n1053	0.424	0.11	0.96	0
t_n1054	0.278	0.04	0.77	0
t_n1055	0.5	0.16	1.12	0
t_n1056	0.365	0.1	0.84	0
t_n1057	0.207	0.04	0.54	0
t_n1058	0.082	0.01	0.26	0
t_n1059	3.68	1.94	5.68	0
t_n1060	1.457	0.57	2.83	0
t_n1061	0.531	0.07	1.4	0
t_n1062	0.535	0.12	1.28	0
t_n1063	4.223	2.52	6.14	0
t_n1064	3.111	1.66	4.85	0
t_n1065	0.77	0.26	1.61	0
t_n1066	0.546	0.16	1.21	0
t_n1067	0.316	0.04	0.83	0
t_n1068	0.156	0.01	0.54	0
t_n1069	0.831	0.27	1.79	0
t_n1070	0.647	0.19	1.44	0
t_n1071	0.206	0.01	0.64	0
t_n1072	0.333	0.03	0.93	0
t_n1073	0.922	0.24	2.01	0
t_n1074	9.616	5.95	13.12	0
t_n1075	0.517	0.15	1.17	0
t_n1076	0.386	0.1	0.92	0
t_n1077	0.401	0.06	1.1	0
t_n1078	27.956	24.7	31.39	0
t_n1079	24.807	21.66	28	0
t_n1080	21.847	18.56	25.39	0
t_n1081	12.266	9.08	15.55	0
t_n1082	9.463	6.14	12.93	0
t_n1083	7.269	4.93	9.9	0
t_n1084	5.3	3.59	7.42	0
t_n1085	3.397	2.17	4.92	0
t_n1086	2.913	1.82	4.31	0
t_n1087	4.192	2.67	6.04	0
t_n1088	0.655	0.2	1.5	0
t_n1089	9.19	6.01	12.35	0
t_n1090	0.087	0	0.35	0
t_n1091	0.872	0.2	2.13	0
t_n1092	17.182	14	20.49	0
t_n1093	12.955	10.47	15.76	0
t_n1094	11.08	8.81	13.63	0
t_n1095	8.534	6.34	10.95	0
t_n1096	2.834	1.78	4.19	0
t_n1097	2.319	1.42	3.48	0
t_n1098	1.756	0.99	2.77	0
t_n1099	5.132	3.36	7.58	0
t_n1100	0.849	0.36	1.58	0
t_n1101	20.82	15.2	26.04	0
t_n1102	15.618	11.11	20.96	0
t_n1103	14.792	10.53	19.89	0
t_n1104	12.545	8.6	17.32	0
t_n1105	8.477	4.95	12.41	0
t_n1106	7.552	4.42	11.24	0
t_n1107	4.067	2.19	6.37	0
t_n1108	2.848	1.44	4.65	0
t_n1109	0.718	0.25	1.5	0
t_n1110	0.358	0.08	0.84	0
t_n1111	2.613	1.19	4.61	0
t_n1112	4.621	2.76	7.21	0
t_n1113	3.043	1.66	4.89	0
t_n1114	51.474	48.69	53.35	0
t_n1115	34.136	28.57	38.64	0
t_n1116	31.611	26.26	36.14	0
t_n1117	19.702	15.85	23.82	0
t_n1118	14.718	11.78	18.02	0
t_n1119	11.781	9.28	14.67	0
t_n1120	11.207	8.82	13.96	0
t_n1121	10.069	7.77	12.72	0
t_n1122	6.211	4.61	8.32	0
t_n1123	5.243	3.83	7.2	0
t_n1124	3.201	2.18	4.58	0
t_n1125	2.936	1.99	4.24	0
t_n1126	2.248	1.47	3.34	0
t_n1127	0.915	0.52	1.5	0
t_n1128	0.63	0.27	1.15	0
t_n1129	0.15	0.02	0.41	0
t_n1130	1.641	1.03	2.51	0
t_n1131	2.154	1.34	3.31	0
t_n1132	1.419	0.83	2.28	0
t_n1133	3.929	2.63	5.46	0
t_n1134	0.238	0.04	0.57	0
t_n1135	5.046	3.65	6.93	0
t_n1136	2.572	1.73	3.71	0
t_n1137	2.425	1.61	3.54	0
t_n1138	1.192	0.72	1.86	0
t_n1139	0.084	0.02	0.2	0
t_n1140	1.351	0.83	2.08	0
t_n1141	0.102	0.03	0.23	0
t_n1142	2.257	1.34	3.52	0
t_n1143	14.075	11.16	17.35	0
t_n1144	9.429	7.03	12.2	0
t_n1145	6.347	4.72	8.32	0
t_n1146	5.876	4.36	7.72	0
t_n1147	4.626	3.37	6.1	0
t_n1148	4.058	2.9	5.39	0
t_n1149	3.554	2.46	4.83	0
t_n1150	2.445	1.56	3.54	0
t_n1151	1.836	1.05	2.84	0
t_n1152	1.721	0.97	2.69	0
t_n1153	0.832	0.35	1.52	0
t_n1154	0.629	0.17	1.34	0
t_n1155	1.148	0.55	1.98	0
t_n1156	1.577	0.87	2.52	0
t_n1157	0.971	0.45	1.71	0
t_n1158	3.217	2.13	4.55	0
t_n1159	4.339	3.04	5.86	0
t_n1160	1.452	0.86	2.25	0
t_n1161	1.19	0.68	1.88	0
t_n1162	0.912	0.48	1.5	0
t_n1163	0.52	0.19	1	0
t_n1164	3.211	1.98	4.65	0
t_n1165	3.18	1.91	4.73	0
t_n1166	2.953	1.62	4.7	0
t_n1167	15.854	12.07	19.94	0
t_n1168	9.908	7.15	13.3	0
t_n1169	7.158	5.07	10.16	0
t_n1170	6.203	4.25	9.31	0
t_n1171	5.475	3.58	8.53	0
t_n1172	1.004	0.46	1.91	0
t_n1173	0.844	0.37	1.64	0
t_n1174	0.739	0.3	1.47	0
t_n1175	0.46	0.12	1.04	0
t_n1176	1.371	0.52	2.75	0
t_n1177	5.341	3.75	7.83	0
t_n1178	4.558	3.16	6.74	0
t_n1179	9.026	5.38	12.68	0
t_n1180	7.589	4.43	11.03	0
t_n1181	28.133	22.93	32.9	0
t_n1182	23.48	18.69	28	0
t_n1183	15.481	11.48	19.64	0
t_n1184	10.632	7.14	14.03	0
t_n1185	9.405	6.08	12.69	0
t_n1186	6.889	4.33	9.77	0
t_n1187	3.387	1.95	5.1	0
t_n1188	2.635	1.45	4.15	0
t_n1189	4.37	2.6	6.6	0
t_n1190	1.192	0.56	2.17	0
t_n1191	8.907	5.63	12.17	0
t_n1192	7.648	4.67	10.96	0
t_n1193	7.296	4.4	10.54	0
t_n1194	1.346	0.6	2.54	0
t_n1195	0.252	0.07	0.58	0
t_n1196	13.946	10.33	17.99	0
t_n1197	12.287	8.94	16.16	0
t_n1198	3.136	1.54	5.15	0
t_n1199	17.09	12.88	21.37	0
t_n1200	15.067	11.3	19.14	0
t_n1201	11.639	8.67	15.1	0
t_n1202	4.929	3.28	7.3	0
t_n1203	2.426	1.33	3.96	0
t_n1204	4.741	3.1	7	0
t_n1205	8.405	5.49	11.78	0
t_n1206	5.654	3.55	8.76	0
t_n1207	9.65	6.08	13.26	0
t_n1208	0.257	0.06	0.65	0
t_n1209	15.737	10.77	20.92	0
t_n1210	11.622	7.72	15.71	0
t_n1211	10.609	6.93	14.5	0
t_n1212	8.723	5.52	12.26	0
t_n1213	7.355	4.6	10.68	0
t_n1214	5.427	3.33	8.47	0
t_n1215	4.55	2.73	7.27	0
t_n1216	3.128	1.43	5.23	0
t_n1217	6.794	4.1	10.02	0
t_n1218	8.973	5.37	12.7	0
t_n1219	6.965	4.27	10.16	0
t_n1220	2.673	1.08	4.91	0
t_n1221	24.655	19.23	29.99	0
t_n1222	14.745	11.48	18.76	0
t_n1223	14.447	11.23	18.41	0
t_n1224	13.317	10.29	17.1	0
t_n1225	12.378	9.37	16.15	0
t_n1226	7.529	5.31	10.29	0
t_n1227	4.754	3.09	7.02	0
t_n1228	2.698	1.55	4.24	0
t_n1229	1.612	0.85	2.7	0
t_n1230	0.874	0.43	1.56	0
t_n1231	0.703	0.33	1.27	0
t_n1232	0.603	0.27	1.12	0
t_n1233	0.277	0.1	0.58	0
t_n1234	0.204	0.05	0.47	0
t_n1235	2.551	1.54	3.93	0
t_n1236	11.568	8.73	15.06	0
t_n1237	10.319	7.62	13.53	0
t_n1238	8.304	5.61	11.31	0
t_n1239	4.051	2.4	5.99	0
t_n1240	1.525	0.82	2.54	0
t_n1241	7.513	4.9	10.6	0
t_n1242	6.274	3.99	9.28	0
t_n1243	5.482	3.67	8.11	0
t_n1244	3.761	2.2	5.69	0
t_n1245	1.781	0.94	3.03	0
t_n1246	0.648	0.23	1.39	0
t_n1247	12.782	9.64	16.67	0
t_n1248	7.849	5.22	11	0
t_n1249	9.474	4.9	14.22	0
t_n1250	47.721	44.72	50.09	0
t_n1251	12.377	8.09	17.7	0
t_n1252	1.139	0.34	2.6	0
t_n1253	0.64	0.15	1.58	0
t_n1254	0.252	0.02	0.78	0
t_n1255	37.076	31.59	41.51	0
t_n1256	19.075	13.03	25.22	0
t_n1257	3.81	1.57	7.17	0
t_n1258	28.744	6.49	48.86	0
t_n1259	5.168	1.12	6.49	0
